,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title:,"A&E Attendances & Emergency Admission monthly statistics, NHS and independent sector organisations in England",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary:,"A&E attendances, performance and emergency admission.
Please see the Supplementary ECDS Analysis file for further breakdowns of A&E attendance data, this can be found published below this file on the NHS England Website, this provides attendance data split by age groups, gender, ethnicity, chief complaint and provides a data completeness and quality fact sheet.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period:,March 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,SDCS data collection - MSitAE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basis:,Provider,,,,,,,,,,,,,,,,,,,,,,,,,,,
Published:,16th April 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,14th May 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status:,Published,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact:,Kerry Evert - england.aedata@nhs.net,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System Level Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A&E attendances,,,,"A&E attendances < 4 hours from arrival to admission, transfer or discharge",,,,"A&E attendances > 4 hours from arrival to admission, transfer or discharge",,,,Percentage of attendances within 4 hours,,,,Emergency Admissions,,,,,,,,,,
Code,System,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission,,,
-,-,"1,478,144","55,393","898,735","2,432,272","947,365","53,329","874,867","1,875,561","530,779","2,064","23,868","556,711",77.1%,64.1%,96.3%,97.3%,"402,356","1,423","6,226","410,005","143,887","553,892","123,870","46,665",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","20,771",377,"12,448","33,596","11,678",377,"11,857","23,912","9,093",0,591,"9,684",71.2%,56.2%,100.0%,95.3%,"7,282",0,11,"7,293","4,480","11,773","2,567",668,,,
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","26,816",0,"18,199","45,015","18,375",0,"18,106","36,481","8,441",0,93,"8,534",81.0%,68.5%,-,99.5%,"7,954",0,0,"7,954","2,938","10,892",698,15,,,
